,endoscopic,control,gastric,duodenal,bleeding,non,invasive,mechanical,ventilation,other,partial,resection,small,intestine,aorto,coronary,bypass,three,arteries,single,internal,mammary,artery,temporary,tracheostomy,open,replacement,aortic,valve,with,tissue,graft,interruption,the,vena,cava,venous,catheterization,not,elsewhere,classified,percutaneous,abdominal,drainage,hemodialysis,esophagogastroduodenoscopy,egd,closed,biopsy,endovascular,total,embolization,occlusion,head,neck,vessels,four,more,continuous,for,less,than,consecutive,hours,transluminal,angioplasty,ptca,endoscopy,mitral,insertion,endotracheal,tube,enteral,infusion,concentrated,nutritional,substances,reduction,fracture,fixation,femur,heart,valvuloplasty,without,one,excisional,debridement,wound,infection,burn,procedures,on,excision,destruction,lesion,brain,transfusion,packed,cells,right,hemicolectomy,implant,pulsation,balloon,colonoscopy,two,thoracentesis,incision,cerebral,meninges,central,catheter,placement,guidance,left,cardiac,renal,dialysis,transplant,liver,spinal,tap,arterial,implantation,automatic,cardioverter,defibrillator,system,aicd,diagnostic,ultrasound,peripheral,vascular,shunt,combined,vessel,s,arteriography,injection,thrombolytic,agent,approach
0,0.20741226,-0.14129993,0.21459532,0.19825055,-0.010582868,-0.14732695,0.07370006,0.0050223228,-0.60582983,0.11928403,-0.061460987,-0.058738545,-0.05326653,0.09420266,0.021704031,0.51925826,0.086296275,-0.004807735,-0.09072323,0.17763202,0.23633628,0.1095729,-0.13357987,-0.2508401,-0.27842152,0.11320823,0.22526874,0.17730579,0.22668159,-0.010037907,-0.09377674,0.046110675,-0.17832398,-0.004336743,-0.15735789,-0.10891434,-0.5231323,0.11454231,-0.06912391,0.43885684,0.3161427,0.072319955,-0.14640985,-0.9029784,-0.5879847,0.10917004,-0.031019922,-0.20396858,-0.09982948,0.14340797,0.17102827,-0.18650366,-0.119748175,-0.09071238,0.18502162,-0.506388,-0.08492787,-0.0905347,-0.62723094,-0.26092464,0.0053229406,0.012300402,-0.28180757,-0.04264735,0.038144216,0.2439665,0.021448534,0.007927101,0.4340553,-0.10164585,-0.35717574,-0.47258976,-0.15022683,-0.425852,0.10705943,0.28989512,0.028228996,-0.50149286,0.0459319,0.11563684,0.03426335,-0.13807552,0.48249507,-0.2849783,0.119324796,-0.04202236,-0.6680929,-0.5426513,-0.037769716,-0.04385051,-0.14897686,-0.19290973,-0.34149164,-0.42953187,0.28023413,0.01498755,-0.18596642,-0.618316,0.06584492,0.14579642,0.101236336,0.08794708,-0.42544913,0.17566356,0.32472193,0.0019559052,-0.6174195,-0.5621638,-0.24027699,-0.2684148,0.12210692,-0.2730894,-0.4109324,-0.13255438,0.12836611,0.028801255,-0.20629288,-0.64578,0.21608825,-0.1361235,0.057049103,-0.4522667,-0.4669584,-0.051997997,-0.016601812,0.2102231,0.06071587,0.017719358,0.025940832,0.14488637,-0.21710676,0.026767883,-0.34445226,-0.35134763,0.027505849,-0.27930474,0.48612243,-0.080181465,-0.17220813,0.33222246,-0.21583678,-0.1346997
1,-0.6801812,-0.54902947,-0.25067967,-0.30098706,0.32850337,0.02445582,-0.27534842,-0.060526926,-0.13934541,-0.25919715,0.0027056744,0.00477293,-0.4940318,-0.4562495,0.18509796,0.03727673,0.09185264,-0.15100317,-0.2147661,-0.15154845,-0.40956506,-0.3122771,-0.42184487,-0.48775357,-0.56650096,-0.5419743,0.14310272,0.21043108,0.46145675,0.005227346,0.008653622,-0.113144256,-0.24457665,-0.34727436,-0.32640904,-0.44020504,0.13218264,-0.48271057,-0.021014886,-0.44375837,0.04351073,-0.29411176,-0.2338757,-0.06104569,-0.12421815,-0.588821,0.035605144,-0.5537402,-0.26672122,-0.29765883,-0.21073662,-0.2173757,-0.13584286,-0.4396908,-0.45721284,-0.29109803,-0.23873642,-0.2634655,-0.44671598,-0.1654401,-0.05882511,-0.10350064,-0.21668915,-0.09143719,-0.052089762,-0.020854542,0.059870966,-0.681458,0.5960565,-0.18971974,-0.65920764,-0.8379993,-0.3367672,0.09600656,-0.27899626,-0.6016816,-0.17651282,-0.25753972,0.051435046,-0.488196,-0.295994,-0.17794128,0.3183796,-0.2779174,-0.2362672,-0.09122328,-0.1382221,-0.41833085,-0.61283237,-0.28613663,0.029769443,-0.53145254,0.10286063,-0.2982212,0.014198344,-0.12569615,-0.27453142,-0.3354179,-0.19711153,-0.064647555,-0.0829306,0.023973918,-0.09662044,0.16846378,-0.21083632,-0.18580776,-0.4423271,-0.021812538,0.041421458,-0.666794,-0.4140809,-0.28214207,-0.12739615,-0.46338505,0.05151997,0.34203094,0.21453187,0.14669976,-0.2815435,-0.04585873,-0.0133087635,-0.15204526,-0.0015607153,-0.16280068,-0.36055297,0.09644358,0.09170812,-0.28316033,0.17433058,-0.55518717,-0.35047308,-0.40399092,-0.06352052,0.28376216,-0.4214646,-0.057829443,0.3131909,-0.35191336,-0.0012064497,0.14820194,-0.45088696,0.04167532
2,-0.1497123,-0.010854126,-0.16427355,-0.26482576,-0.030337548,-0.06415488,-0.004865831,0.37299302,-0.10466229,-0.2576714,0.5888185,0.026990475,-0.060585156,-0.21961743,-0.44236368,-0.28523126,-0.46131787,-0.07925945,0.4343795,-0.17996255,0.051443346,-0.06947706,0.11766059,-0.24091509,-0.5403596,-0.25276697,0.14463155,-0.05130611,0.019323878,-0.2856681,0.27349836,-0.13084623,0.041309137,0.043670356,-0.00046224895,0.0821696,0.0439457,0.1997575,0.11715544,-0.21573716,0.08724184,-0.6642022,-0.16510257,-0.40882215,-0.3642184,0.058319878,0.016460108,-0.26518586,0.14308064,-0.17017263,0.021019774,0.260721,0.017762564,0.05839634,0.06807649,0.49851847,-0.0039168783,0.08424394,-0.0795188,-0.0917159,0.006086376,-0.07570207,-0.024572615,0.06359382,-0.68423724,-0.2883776,-0.008778964,-0.12265171,-0.14202896,-0.65253216,-0.21272612,-0.3911085,-0.39837813,-0.333989,0.024164602,0.043062437,0.19515462,0.3044491,-0.046762247,-0.24625719,-0.00043554758,0.03809603,0.073169805,-0.1905818,0.015483767,0.2520995,-0.0048649707,0.022213211,-0.14112094,0.16746157,0.30054036,-0.083815396,0.25395703,0.29323262,-0.097080916,0.003675503,0.22556794,-0.09141072,-0.09314043,-0.24631277,-0.27189627,-0.032837465,0.14108291,-0.45342892,0.12715094,-0.121193916,-0.069391444,-0.35456002,0.0152088385,0.22981644,-0.13072877,-0.49238512,-0.4029875,0.33364242,-0.37975714,-0.05885825,-0.37904346,-0.276004,-0.12129173,-0.1988024,0.03678693,-0.01491264,-0.07828626,-0.16612361,0.20240562,-0.2402273,-0.076353766,-0.021835178,0.15416954,0.15564941,0.35264245,0.23677708,-0.14801784,-0.5054375,0.10858009,0.099152535,0.15445858,0.3914619,-0.23065823,0.08838146,0.0026680962,0.2397941
3,-0.082137465,-0.03595544,-0.14390197,-0.1798859,0.2526006,-0.35603297,-0.17346196,-0.38113827,0.17648424,-0.36308724,-0.73563474,-0.0343192,-0.46989194,-0.14695573,-0.21145356,0.096709326,-0.17407115,0.06232806,0.13953806,-0.355935,-0.32576096,0.13570642,-0.1600384,-0.5484845,0.1164432,-0.43958294,0.21347588,-0.17270654,-0.15200016,-0.3623007,-0.019359857,-0.37803102,0.08519835,-0.14972731,-0.14136206,0.043892823,-0.006078043,0.05517838,0.057336587,-0.30435485,-0.06821414,0.050971456,-0.12819724,0.3864508,-0.09945285,-0.01732068,-0.013851656,-0.2824605,-0.06348756,-0.11365948,-0.44614577,0.21788618,-0.2795183,0.045966357,0.32569256,0.068726204,0.07845509,-0.14706874,-0.19757497,-0.30981833,-0.21602848,-0.41141927,-0.026092848,-0.5083806,-0.15022144,-0.034789085,0.022407835,0.23612866,-0.2479671,0.26657212,0.010440878,-0.16015849,0.26052973,0.39912573,0.0031055459,-0.04182743,-0.1889832,-0.35451138,-0.109898575,-0.29724336,0.19022202,-0.1614968,-0.060282767,-0.14570946,-0.31518888,-0.27764717,-0.21543247,-0.10789216,-0.35160857,-0.09137556,-0.17599536,-0.4531709,-0.08574728,0.19382131,-0.25256783,0.15998812,-0.21177574,-0.22234452,0.111243285,-0.19863415,-0.28555134,-0.012990464,-0.3052795,-0.2589692,0.09213284,0.03444273,0.37648603,-0.110755175,-0.07462565,0.36106434,-0.47203034,-0.05968492,0.29390424,0.059977055,-0.28404585,-0.072595306,-0.17573586,-0.14853111,-0.23165542,0.033667415,-0.24977486,-0.44275215,-0.15220264,0.26339766,-0.084709555,0.000774669,0.0080761295,-0.2942466,-0.01882491,-0.016303152,0.08042323,-0.14872299,-0.404747,-0.058064394,-0.30496392,-0.23342714,-0.69472903,0.36408788,0.14368375,0.048589695,-0.050916057,0.3531711
4,-0.013869317,-0.028290473,0.31926253,0.19625524,-0.26415268,-0.08442683,0.05494551,-0.071742624,-0.11148077,0.15721682,-0.7068344,-0.1940221,-0.14218041,0.049548123,-0.21972257,0.08356122,0.39405546,-0.08387092,0.045752473,-0.40253583,0.12145432,0.022360308,0.22526768,-0.33788112,0.21678065,0.0019926452,-0.16062142,0.116144635,0.03829351,-0.13753866,-0.1906903,-0.17122027,-0.024550647,-0.018669186,-0.16831028,-0.22413445,-0.12550022,-0.0541685,-0.13065924,0.08534728,-0.3763671,-0.14978828,-0.1355844,-0.016499199,0.009321306,0.3309102,0.006897058,0.18255384,0.15853606,0.09716969,-0.44843653,-0.1879155,-0.10672871,0.022295631,-0.0003097299,-0.016285531,-0.11052442,0.1664034,-0.16490845,-0.018486671,0.1469768,-0.10898969,-0.07887141,-0.04446684,0.4318291,0.20034991,0.05363098,0.4301329,0.17560339,-0.32108316,-0.038433917,0.0004973891,0.007314082,-0.24608684,0.1589215,-0.64779043,0.208253,-0.24621311,0.041020688,-0.15117888,-0.2658543,-0.21670824,0.20764077,-0.2149673,-0.078001074,0.31471074,0.22966573,0.1160603,0.17461535,0.22293901,-0.11157955,-0.2806374,-0.0522192,-0.06572297,-0.43680683,0.07475142,-0.12966098,0.09107408,0.19569825,-0.021048794,0.18587138,-0.35005084,-0.053455673,0.08568337,0.062011737,-0.05212295,-0.02259001,0.2708806,0.2684013,0.37168294,0.07741225,-0.007072947,-0.5172952,0.07701168,-0.21247505,-0.026597818,-0.36836126,-0.18039031,-0.37401596,-0.64088345,-0.027900659,-0.03657444,-0.16462225,-0.052354,-0.30573565,0.2647945,0.10381066,-0.3851995,-0.21849586,-0.47027794,-0.19572127,0.006342589,0.19701815,-0.5683099,-0.31297004,0.086308666,0.28787002,0.21315579,-0.46987054,0.13166328,0.16468243,0.32790273
5,-0.94550455,0.11520806,-0.62939644,-0.70009947,-0.8648761,-0.25872484,-0.46800032,-0.25133672,0.09415932,-0.27240744,-0.19938897,-0.6347964,-0.255076,-0.24187006,-0.4559657,-0.40057936,-0.84688294,-0.40920684,0.16909663,-0.6373892,0.051581543,0.18097855,-0.06667699,-0.35042477,-0.73546267,-0.17767525,-0.64303905,-0.52529305,-0.30573866,-0.2491952,-0.08511402,-0.43934515,-0.66394633,-0.22857809,0.0123416865,-0.13786937,-0.53560793,-0.71197367,-0.33658844,-0.20219637,0.47864935,-0.99668646,-0.64205873,-0.5546683,-0.74010223,-0.5378543,-0.037563805,-0.49702182,-0.6697248,-0.79650706,-0.22345036,-0.75336516,-0.5100411,-0.09663716,-0.40775535,0.25173914,-0.3642798,-0.33720732,-0.45722228,-0.17576295,-0.19948682,-0.20618686,-0.45052236,-0.6416602,-0.72965443,-0.6104947,-0.12774806,-0.91799366,-0.7383248,-0.7510681,-0.103145786,-0.13441539,-0.4930737,-0.67392206,-0.224043,-0.13678545,-0.19390249,-0.20693798,-0.836348,-0.3762261,-0.385485,-0.023149775,-0.85743564,-0.26853335,-0.6244992,-0.7079649,-0.927399,-0.8005835,-0.72524387,-0.66893566,-0.80312806,-0.4568719,-0.8302653,-0.29053235,-0.7060878,-0.32417822,-0.65291065,0.36756593,-0.0034301886,-0.1915162,-1.0022599,-0.101038836,-0.5994543,-0.5092852,-1.064898,-0.5682607,-0.6518806,-0.84135604,-0.3455214,-0.07289436,-0.22979338,-0.915238,-0.7931995,-0.3915842,-0.1809797,-0.38399673,-0.36635193,-1.0623991,-0.110927865,-0.38386676,-0.7365601,-0.4880765,0.056768045,-0.39364037,-0.10400383,-0.120279625,-0.40503684,-0.19464295,-0.08875624,-0.29352152,-0.6572925,-0.31711832,-0.16024701,-0.63179785,-0.4153222,0.025223356,-0.56267065,-0.43804055,-0.58077824,-0.72051865,-0.43502405,-0.2879425
6,-0.94006467,-0.5975815,-0.65991664,-0.5449662,-0.8369268,-0.19146985,-0.5613938,-0.2574908,-0.34291455,-0.45480803,-0.28382346,-0.6321828,-0.10636541,-0.25392386,-0.5063159,-0.74972606,-0.61545026,-0.39246723,-0.49489835,-0.0028113564,-0.12983969,-0.6008185,-0.4983166,-0.32738853,-0.50292593,-0.18220316,-0.20566905,-0.50927514,-0.5037369,-0.43435124,-0.17662911,-0.48409802,-0.7062905,-0.30396014,-0.4982471,-0.44348672,-0.5225427,-0.5675231,-0.31131905,-0.16113473,-0.15113156,-0.30417874,-0.671355,-0.6330688,-0.5513147,-0.3973126,-0.012599905,0.022617446,-0.52689165,-0.91366434,0.061697926,-0.84282064,-0.79458946,-0.48603737,-0.6528665,-0.27722228,-0.38042176,-0.3130754,-0.1234316,-0.44653326,-0.11694284,0.14255436,-0.067620404,-0.26213074,-0.8049147,-0.6515016,-0.0009262011,-0.48232937,-0.61788243,-0.32971,-0.38081956,-0.5763592,-0.35351735,-0.22626927,0.04698194,-0.5846521,0.17755756,-0.30430293,-0.20838745,0.094790615,-0.08046828,-0.25557733,-0.8701268,-0.23135595,-0.20116474,-0.5660676,-0.64467525,-0.6661073,-0.60414773,-0.69075084,-0.13802102,-0.06694746,-0.70809996,-0.37493825,-0.64535004,-0.24717048,-0.17988978,0.11895199,-0.15921323,-0.3329855,-0.6212397,-0.45663208,-0.24535379,-0.542013,-0.40088066,-0.336301,-0.2542964,-0.44668975,-0.71500695,3.2559267e-06,-0.13498178,-0.4445339,-0.5861193,-0.69612956,-0.56635565,-0.55262285,-0.6562579,-0.21379608,-0.40387732,-0.34818506,-0.20768602,0.3995691,-0.3581009,-0.53968215,0.008336312,-0.27792144,-0.31303608,0.26292226,-0.08095789,-0.53626573,-0.61861235,-0.19773632,-0.38988504,-0.85013235,-0.46199524,-0.3262561,0.08548204,-0.65155864,-0.17733979,-0.5256398,-0.3824288,-0.46327254
7,-0.20484188,-0.081772454,0.03657934,0.07401413,-0.36345088,-0.083016664,0.42172447,-0.15889958,-0.4597906,-0.21753651,0.0039841477,-0.12222767,0.20689183,0.0472284,-0.027963106,-0.5746381,-0.24298914,0.07788767,-0.2795197,-0.23876153,-0.41826358,0.19952801,-0.59629214,-0.10170981,-0.24644667,-0.19868253,0.15146396,-0.38747692,-0.28295866,0.096107006,0.044361643,-0.17199163,-0.5554921,-0.10089379,-0.3213274,-0.39795145,-0.18515906,-0.3466113,-0.47611067,0.02798838,-0.6511677,-0.3395787,-0.08306409,0.055239838,-0.2078001,-0.42351103,0.004140025,-0.1329961,-0.31728187,-0.7530145,-0.048816264,-0.68632877,-0.5056454,-0.32670587,-0.1993699,-0.06745149,0.06266516,-0.46155745,-0.17205028,-0.11758879,-0.47150925,-0.16121083,-0.068610854,-0.43944654,-0.4061641,-0.4709563,-0.01961467,-0.3166305,-0.3161926,-0.121613,-0.39431682,-0.17461804,-0.19700132,-0.5761279,-0.08451597,-0.19943498,-0.29558462,-0.17504361,-0.34308288,0.091186866,-0.056736443,-0.36348644,-0.37828273,-0.34305543,-0.3477045,0.0750235,0.34927362,-0.01661268,-0.3573846,-0.1350014,0.19396523,-0.07766391,0.025255008,0.01978003,-0.08811636,-0.34923956,-0.4641815,0.33136633,-0.3273323,-0.40046862,-0.3474122,-0.13999528,-0.3091038,-0.070683755,-0.45985502,0.06116579,-0.60573405,-0.12827535,-0.62671775,-0.2543607,-0.07174793,-0.23897655,-0.2850584,-0.48289776,-0.4585615,-0.68066156,-0.24471234,-0.32452226,-0.14844704,-0.29255155,-0.2712426,-0.13967843,-0.24379012,-0.44076157,-0.32118016,-0.8486266,-0.79881984,-0.18092614,0.12841442,-0.32477936,-0.40429294,-0.0056490987,-0.18380071,-0.50651515,0.07325566,-0.26310217,-0.5107789,-0.5024733,-0.6521031,-0.6063179,-0.15301035,0.1669626
8,-0.3013035,0.31222802,0.041267537,0.5345137,0.52559316,0.15653315,0.023478737,-0.30093762,-0.38528156,-0.16398421,0.11593004,0.08697174,0.12144752,0.28180733,-0.08346173,-0.32023665,-0.23865776,-0.029165164,0.048220694,-0.040305752,-0.22083378,-0.29138246,-0.073669404,-0.28433418,-0.050834972,0.16699642,-0.4021446,0.51136494,0.39394683,0.18615468,-0.038766224,-0.2779878,-0.33089584,0.05564259,0.12955251,0.011269417,0.4354368,-0.18277581,-0.1687383,0.16238801,0.7415494,-0.3289297,0.72859627,0.06647535,0.29520857,0.30814973,0.03364525,0.32291114,-0.088069245,-0.010270078,0.21539156,0.29162985,-0.16093811,0.18374546,0.32626206,0.2195393,0.031399615,-0.049723424,-0.31059057,0.14343855,-0.10137144,-0.034862474,0.38993096,0.026401205,-0.56924886,-0.39144355,-0.037919667,0.015743216,0.56474835,-0.2921762,-0.23542748,0.003299881,-0.14358157,-0.4464793,0.37941462,-0.13817647,-0.48056835,0.11474301,0.15032494,-0.37325042,0.17993814,-0.11008389,0.27894065,0.11410268,0.06607394,-0.043002322,0.10871774,0.31346074,0.10451897,0.40032005,-0.09905215,0.15674576,-0.24058536,-0.3013407,0.24855688,0.105578184,-0.35921246,0.33887878,-0.09555878,0.3391565,-0.16323076,-0.2541865,0.34683418,0.08125821,-0.18709354,0.0029102273,-0.007998513,0.1493586,0.22763278,0.20844653,0.037099417,0.21011952,-0.55170214,-0.1563265,0.29532433,0.14039423,-0.44902,-0.11956985,-0.5140427,-0.09057324,0.1846008,0.45108998,0.21211101,-0.5088615,-0.16014627,-0.48365003,-0.22313063,-0.46640372,-0.10027197,0.42296195,-0.12756301,0.20037161,0.094863094,0.008790699,-0.15542999,0.31420758,-0.05720284,-0.074160285,-0.28854483,-0.32748967,-0.09724447,-0.12107425
9,0.064114496,-0.18129748,-0.13549912,-0.14319484,-0.058734376,-0.3926235,-0.23409191,-0.34935176,-0.18273185,-0.3473589,0.36794826,-0.30438197,-0.088964984,-0.42186296,-0.15232977,-0.2733579,-0.19669692,0.09191014,-0.540035,0.0020582753,0.012230742,-0.1275185,-0.42810228,-0.023359852,-0.18211861,0.2157751,0.04771452,-0.066809274,0.043259088,-0.047648977,-0.4170942,0.020789625,0.22498299,-0.15279643,0.03529515,0.018589644,-0.40050012,-0.01696931,-0.25574058,-0.059845984,0.34839153,-0.094624296,0.3938447,-0.14548095,-0.49912128,0.12104427,-0.040122025,0.11666595,-0.08696882,-0.032468986,-0.42810503,-0.18818699,0.12637267,0.095952645,0.04262637,-0.30718935,0.05142739,-0.40248483,-0.22877161,-0.16577785,-0.30219045,-0.22149491,0.009075616,0.001786401,-0.22536808,-0.54383063,0.015021728,-0.20453176,0.27641383,0.18253893,-0.021350164,0.058194626,-0.37672523,0.04376252,-0.24232362,-0.41414726,-0.5480486,0.14635386,-0.6216697,-0.2508402,-0.36674505,0.030970396,-0.07429507,-0.4104045,-0.097097,-0.111233614,-0.39504018,-0.40067074,-0.3523994,-0.50767094,-0.35213625,0.002544112,-0.0344563,0.28120568,0.16764809,0.04480047,0.09380994,0.030081341,-0.32812622,0.26516235,-0.2306469,-0.07035505,-0.009071948,0.12710781,0.07942745,0.046426192,0.0051339706,-0.16339767,0.0039796224,-0.5197686,0.33440405,-0.016257508,0.13907208,-0.10657063,0.2839095,0.22064504,0.140528,-0.301336,0.06641572,-0.010172182,-0.22738467,-0.56323135,-0.34181604,-0.3378929,0.3154914,0.062819086,0.026215028,-0.11681454,-0.2425982,-0.17662384,-0.047940157,0.34883744,-0.27744982,-0.15084705,-0.17800276,-0.13650389,0.036341507,-0.13742632,-0.09215852,-0.0039060602,-0.29616362,0.05272892
