,diabetes,with,ketoacidosis,type,i,juvenile,uncontrolled,coronary,atherosclerosis,native,artery,pneumonitis,due,to,inhalation,food,vomitus,aortic,valve,disorders,other,pulmonary,embolism,infarction,thoracic,aneurysm,without,mention,rupture,congestive,heart,failure,unspecified,subarachnoid,hemorrhage,acute,on,chronic,diastolic,alcohol,withdrawal,septicemia,myocardial,anterior,wall,initial,episode,care,atrial,fibrillation,subendocardial,pancreatitis,gastrointestinal,tract,cirrhosis,liver,respiratory,alcoholic,streptococcal,inferior,intracerebral,obstructive,bronchitis,exacerbation,diverticulosis,colon,mitral,malignant,neoplasm,upper,lobe,bronchus,lung,subdural,pneumonia,organism,duodenal,ulcer,obstruction,methicillin,susceptible,staphylococcus,aureus,paroxysmal,ventricular,tachycardia,cerebral,escherichia,coli,e,secondary,brain,spinal,cord,kidney,following,injury,open,intracranial,wound,no,loss,consciousness,human,immunodeficiency,virus,hiv,disease,state,complicating,a,procedure,dissection,aorta,postoperative,infection,systolic,inflammatory,reaction,vascular,device,implant,graft,gram,negative,organisms,occlusion,stenosis,carotid,nonruptured,single,liveborn,born,in,hospital,delivered,cesarean,section,abdominal
0,0.07828073,-0.010037907,-0.30233672,-0.2469109,0.15351488,-0.12156412,-0.39582846,0.51925826,0.42311028,0.704943,-0.13357987,0.6776345,0.29409948,0.39020187,0.18387529,0.44315857,-0.011262071,0.17730579,0.22668159,0.14256674,0.11928403,0.04437136,0.29758745,0.38409597,0.012007018,0.16742748,-0.2849783,0.3873011,0.08374215,0.13350692,-0.13807552,-0.015129469,0.35701725,-0.16368079,-0.2762,0.5750492,-0.19290973,0.44577146,0.041291747,-0.052743476,0.15773185,-0.032889247,0.2052836,-0.07500557,0.05904712,0.053418003,0.033375397,-0.304783,0.19076878,0.22760235,-0.10370493,0.2699664,0.16323909,0.11056004,0.112483755,-0.1361235,-0.116342045,0.25777954,0.048760448,-0.3931967,-0.23939066,0.3215116,0.5748135,-0.13076378,0.39106536,0.30531138,0.4340553,0.3933016,0.38194978,-0.20247993,-0.22430977,0.19551095,0.086812735,-0.36753538,0.087948404,0.1495104,0.19825055,0.21883589,0.35573757,-0.045365587,0.16609545,0.26814896,-0.0018102954,0.2911494,-0.40281227,-0.119525634,-0.24027699,0.004271222,0.084918305,0.09802072,-0.028241051,0.01498755,0.057049103,0.12542923,-0.08393645,0.1574789,0.29528716,0.11320823,-0.21963106,-0.5426513,-0.11096449,-0.28837597,0.12291831,0.27360135,0.5431646,0.51007193,0.05820846,0.46342924,-0.14094168,-0.11416365,-0.07824906,0.03163445,0.46699765,0.17633353,-0.1221626,-0.037769716,-0.017960696,0.070699655,-0.3499372,-0.34445226,-0.17895703,0.08794708,0.046110675,-0.25079766,-0.031044971,-0.023263123,-0.119748175,0.60438526,0.24212731,-0.12617372,0.17763202,-0.07303885,0.22267647,-0.17122589,-0.114719175,0.30524275,-0.3922106,-0.2034937,-0.14640985
1,-0.124917515,0.005227346,-0.16721527,0.06421566,0.13920848,-0.105581395,-0.45284542,0.03727673,-0.33723825,-0.36986658,-0.42184487,-0.45907703,-0.5559786,-0.48286068,-0.34794894,-0.46886066,-0.41016015,0.21043108,0.46145675,-0.18629701,-0.25919715,0.12409265,0.13522074,0.3002083,-0.19112428,-0.1568545,-0.2779174,-0.33956409,-0.059399504,-0.004093041,-0.17794128,-0.3567923,0.10464993,-0.23652223,-0.031057043,-0.1759883,-0.53145254,-0.19842106,1.059211,-0.031862505,-0.26306707,-0.536847,0.560789,-0.025213176,-0.12930793,-0.41189194,0.43317437,-0.24312109,0.48258442,0.3784369,0.6867328,-0.06112917,-0.40258482,-0.14770238,-0.15719578,-0.04585873,-0.50465614,0.2588345,0.04596846,-0.11738824,-0.20643723,-0.11274229,-0.52494556,-0.46676803,0.060335264,-0.49542043,0.5960565,-0.124951705,-0.18074188,-0.28661165,-0.21156187,-0.8024733,-0.38274747,-0.34949225,-0.6073796,-0.47388488,-0.30098706,-0.4456467,-0.02914128,-0.59953415,-0.33782807,-0.59773207,-0.4735276,0.35383785,0.93042755,0.61450905,0.041421458,-0.11108609,-0.07798531,0.27832663,-0.3103397,-0.12569615,-0.0133087635,-0.34819996,-0.09315314,-0.19024436,-0.19808362,-0.5419743,-0.16639224,-0.41833085,-0.1358078,-0.15390606,-0.19192056,-0.08502578,-0.49368837,-0.075340316,-0.13978349,-0.44515264,-0.3812566,0.07541856,-0.13659996,0.035358638,-0.06731012,-0.24927412,-0.35356686,-0.61283237,0.8542399,-0.27437904,-0.4845215,-0.06352052,-0.10032187,0.023973918,-0.113144256,-0.28483042,-0.31039202,-0.066178486,-0.13584286,0.10814343,-0.3797524,0.14971003,-0.15154845,-0.4983729,-0.63703346,-0.6228143,-0.42473036,-0.6157905,-0.20071262,-0.41259795,-0.2338757
2,0.25199643,-0.2856681,0.58483124,-0.38072324,-0.33744845,0.24791305,0.25904012,-0.28523126,0.4469916,-0.035678297,0.11766059,0.1346267,0.07254339,0.12889619,-0.13643013,-0.16307877,-0.022313818,-0.05130611,0.019323878,0.14079438,-0.2576714,0.035457157,0.7342045,0.04470519,-0.23900777,-0.026965892,-0.1905818,0.0027151527,-0.05630951,0.3133757,0.03809603,-0.15491037,0.005024179,0.09269083,0.024920963,-0.13379519,-0.083815396,0.004278772,-0.0036372482,0.34820226,0.2622014,-0.23602445,-0.13933545,-0.28695703,-0.14054064,0.075605035,-0.1872549,-0.57491636,0.13037844,0.596986,-0.17930484,0.050443318,-0.41556892,-0.48704112,0.24479802,-0.1988024,-0.3861796,0.33152446,-0.59067374,0.09453219,-0.18737143,0.32344234,-0.055421557,0.30449468,-0.471088,-0.19765233,-0.14202896,0.4136579,0.06451135,-0.5048595,-0.46520776,-0.38580087,-0.07206673,-0.20352185,-0.16187432,-0.5462313,-0.26482576,0.2320997,0.03661629,0.16875754,0.18947186,0.13794045,-0.22463518,0.33371255,-0.16344962,0.19327366,0.0152088385,-0.4462348,-0.75360644,-0.014942358,0.22247054,0.003675503,0.03678693,0.27900586,-0.55865735,-0.116517365,-0.0369091,-0.25276697,0.1226866,0.022213211,0.24573347,0.18682799,-0.08469309,-0.07891408,0.013086739,-0.4169538,0.0049570035,0.2400933,0.17310101,-0.029884277,0.47952136,0.08584911,0.07999161,0.06915794,0.0022903746,-0.14112094,-0.09537841,0.34647027,0.19174351,-0.14801784,-0.1568237,-0.032837465,-0.13084623,-0.024605285,0.27809602,-0.4635228,0.017762564,0.12194198,0.4213305,-0.1993434,-0.17996255,0.078024946,-0.22643396,-0.22548674,-0.1471587,-0.23374683,-0.04323088,0.21306081,-0.16510257
3,-0.5383705,-0.3623007,-0.27036273,-0.5734432,-0.5478879,-0.59857684,-0.6527029,0.096709326,0.081529915,0.08914037,-0.1600384,-0.26213765,-0.62327814,-0.5134403,-0.054950118,0.10433491,-0.2593035,-0.17270654,-0.15200016,-0.10711624,-0.36308724,-0.35825822,0.001604556,-0.1389039,-0.21680743,-0.3084707,-0.14570946,-0.3326273,-0.2344243,-0.5546371,-0.1614968,-0.34405378,-0.5843029,-0.16604295,-0.12734401,-0.7953028,-0.4531709,-0.7262156,-0.12079115,-0.38362902,-0.23622888,-0.38054803,-0.17415118,-0.6880083,-0.1764315,-0.6193274,-0.62338763,0.07208648,-0.027218226,0.16010636,-0.11776467,0.16175033,-0.11146361,0.018309679,-0.2905544,0.033667415,-0.20059429,-0.4056159,-0.64740133,-0.30737716,-0.23668107,-0.40942997,-0.40282366,-0.5007677,-0.089623004,0.118207,-0.2479671,-0.19721901,-0.20769608,-0.3122204,-0.15705073,-0.013178647,0.045071512,-0.18334031,-0.2891298,-0.37121794,-0.1798859,-0.43257222,-0.0868718,-0.42148456,-0.15865996,-0.34386554,-0.18249607,-0.267703,-0.097492516,0.18818952,-0.07462565,-0.09296634,0.13762385,-0.4006573,-0.6139137,0.15998812,-0.24977486,-0.17054251,-0.044635836,-0.34878165,-0.10899333,-0.43958294,-0.27406564,-0.10789216,-0.40106308,-0.040466208,0.026231583,-0.1289931,-0.6966579,-0.64742935,-0.18065342,-0.30123118,-0.55675405,-0.53786945,-0.19605017,-0.20700668,0.2503603,0.07178879,-0.20191438,-0.35160857,-0.23403805,-0.58962107,0.051470578,-0.404747,-0.4201682,-0.012990464,-0.37803102,-0.20671771,-0.41793826,-0.108885884,-0.2795183,0.17279623,-0.32251194,-0.28364906,-0.355935,0.12581542,-0.26271805,0.034048982,-0.19321467,0.49959064,-0.37108237,-0.19475631,-0.12819724
4,-0.30363274,-0.13753866,0.082422145,-0.24423593,0.16317669,0.028728306,-0.05237391,0.08356122,0.05888194,-0.17104088,0.22526768,-0.24676305,-0.24442254,-0.012582502,-0.026545642,-0.45880523,0.21657158,0.116144635,0.03829351,0.1593346,0.15721682,-0.38327122,-0.009534574,-0.012119446,-0.13199255,-0.10214556,-0.2149673,-0.05224829,-0.18522848,-0.2171471,-0.21670824,-0.28618476,-0.13874672,-0.13531384,-0.06992812,-0.07194526,-0.2806374,-0.17963791,-0.43897742,-0.26000154,-0.07251899,0.077162206,0.06459238,0.3932268,-0.12349424,-0.121908605,0.22358899,-0.24728362,0.44770882,0.5906691,0.36563963,0.08009435,0.072853945,-0.29165283,-0.62935203,-0.64088345,-0.35758367,-0.1457379,0.6276671,0.15954518,-0.38969716,-0.29840738,-0.053283237,-0.09420766,-0.12217731,0.15811476,0.17560339,-0.3219914,-0.25623462,0.15977271,0.069658086,0.13180196,-0.4234835,-0.24831863,-0.11187108,-0.09102022,0.19625524,-0.02953388,-0.16769212,0.4924261,0.13458253,0.36200532,0.77046186,-0.029609898,-0.22812383,0.10555985,0.2684013,0.24458647,0.4200506,0.1534536,-0.00016943339,0.07475142,-0.027900659,-0.22798567,-0.282855,-0.38245565,-0.23465462,0.0019926452,-0.53926444,0.1160603,-0.43247956,-0.038070396,-0.029508619,-0.073306695,0.081597306,0.40679842,0.040761754,-0.21276946,0.15854731,-0.39534906,-0.31232184,0.00023520716,0.37623647,-0.06758737,-0.010837134,0.17461535,-0.4716151,-0.105016224,0.23257817,0.19701815,-0.27046365,-0.35005084,-0.17122027,0.06629759,0.24745135,0.012772416,-0.10672871,0.10164937,0.29517335,0.069542125,-0.40253583,-0.5925112,-0.1575532,-0.20465358,0.0371631,-0.32690775,0.13204184,0.35372815,-0.1355844
5,-0.19080222,-0.2491952,-0.58893645,-0.37811512,-0.2663202,0.2429654,0.12806776,-0.40057936,-0.3358096,-0.34356192,-0.06667699,-0.44159737,-0.13807844,-0.3712886,-0.13096595,-0.27887902,-0.42731735,-0.52529305,-0.30573866,-0.087039866,-0.27240744,-0.2330143,-0.9666578,-0.48758486,-0.31287813,-0.7292494,-0.26853335,-0.3999096,-0.7215737,-0.23243292,-0.023149775,-0.15679924,0.012892476,-0.7636215,-0.53189224,-0.3656409,-0.4568719,-0.23583491,0.1513738,-0.48997664,-0.8316655,-0.72775996,-0.43586683,-0.13901357,-0.096531354,-0.413847,-0.6912379,0.023459278,-0.41577852,-0.59506613,-0.23630261,-1.0412138,-0.50353974,-0.46483764,-0.36527908,-0.38386676,0.03697559,-0.4292871,-0.7218553,0.015288036,-0.48861694,-0.29384804,0.3243669,-0.24614672,-1.1032616,-0.6223164,-0.7383248,-0.15311623,-0.3141738,-0.28815746,-0.11861127,0.0074146846,-0.05996929,-0.633321,-0.42755052,-0.0776264,-0.70009947,-0.6170405,-0.56420684,-0.4119752,-0.10877769,-0.60473347,-0.74861467,-0.15060824,-0.1831726,-0.19759569,-0.3455214,-0.34568685,-0.39869398,0.019384924,0.049954765,-0.32417822,-0.7365601,-0.43768936,-0.16025533,-0.5464874,-0.76181364,-0.17767525,-0.3809434,-0.8005835,-0.5184379,-0.40634155,0.036074456,0.051863197,0.043193996,0.15299603,-0.14372478,-0.26666284,-0.12116351,-0.4951696,-0.195782,-0.8613423,-0.45876682,-0.3065164,-0.68939245,-0.72524387,0.27717,-0.11176451,-0.30136013,-0.16024701,-0.45940995,-0.101038836,-0.43934515,-0.33314615,-0.66770136,-0.37262508,-0.5100411,-0.47751054,-0.4674756,-0.7128479,-0.6373892,-0.19879955,-0.04016676,-0.0885175,-0.4081535,-0.47406086,-1.1856173,-0.46947527,-0.64205873
6,-0.34017518,-0.43435124,-0.5771682,-0.15941422,0.23649162,-0.1412348,-0.7043049,-0.74972606,-0.93318474,-0.085665345,-0.4983166,-0.31727546,-0.37641984,-0.3880873,-0.61021703,-0.14279206,-0.07419175,-0.50927514,-0.5037369,-0.3484944,-0.45480803,-0.4880001,-0.53993225,-0.55301964,-0.4103267,-0.74191535,-0.23135595,-0.128981,-0.49834666,-0.6285062,-0.25557733,-0.5790959,-0.25812006,-0.15741347,-0.49164087,-0.70888865,-0.06694746,-0.9114312,-0.22091182,-0.5440412,-0.41689816,-0.49014634,-0.6106095,-0.36123586,-0.55238026,-0.50910115,-0.8317665,-0.29761353,-0.61251265,-0.6633654,-0.9289283,-0.79041386,-0.2778952,-0.13257684,-0.7200066,-0.34818506,-0.39169693,-0.47672552,-0.14452235,-0.35610455,-0.3921109,-0.6046498,-0.45646766,-0.7436485,-0.8008006,-0.5233522,-0.61788243,-0.40876973,-0.546318,-0.30808717,-0.35902783,-0.42549765,-0.20852324,-0.46752638,-0.41643324,-0.20275173,-0.5449662,-0.8124393,-0.7969678,-0.53099704,-0.113719754,-0.059838638,-0.43271157,-0.8830713,-0.585252,-0.81592476,-0.71500695,-0.18295214,-0.32576886,0.33873022,-0.20960031,-0.24717048,-0.20768602,0.07730499,-0.29773286,-0.5372301,-0.6031614,-0.18220316,-0.27200928,-0.6661073,-0.16760623,-0.3309402,-0.69048655,-0.14483164,-0.4928491,-0.093337454,-0.24960452,-0.27380422,-0.33267057,-0.7067254,-0.2934923,-0.13914056,-0.8103844,-0.3883983,-0.7961278,-0.60414773,-0.17967574,-0.5720275,-0.14977305,-0.38988504,0.17270817,-0.45663208,-0.48409802,0.23690382,-0.18152198,-0.117006466,-0.79458946,-0.85476637,-0.7212891,-0.371639,-0.0028113564,0.14289866,0.19637515,-0.23939414,0.00014929168,0.016302584,-0.23706461,0.16027324,-0.671355
7,-0.74465865,0.096107006,-0.7396558,-0.18519662,-0.36913016,-0.19659401,-0.5009065,-0.5746381,-0.3295872,0.62709373,-0.59629214,-0.64030206,0.11604482,0.086025044,-0.75972986,-0.119832925,-0.058846753,-0.38747692,-0.28295866,-0.38793305,-0.21753651,-0.2566567,-0.49943155,-0.5418397,-0.32019082,-0.6334125,-0.34305543,-0.387867,-0.2641367,-0.41846544,-0.36348644,-0.3259702,-0.7716588,-0.5955152,-0.29599556,-0.28087568,-0.07766391,-0.13346846,-1.1034099,-1.1293819,-0.72481996,-0.38148248,-0.7375688,-0.33230782,0.11427788,-0.3937457,-0.70406854,-0.42520568,-0.5890354,-0.5628746,-0.5514766,-0.34113955,-0.242251,-0.11097888,-0.5484508,-0.29255155,0.022827104,-0.4790698,-0.2763643,-0.24196666,-0.30211398,-0.043077406,-0.23126332,-0.4601397,-0.044857915,0.12058807,-0.3161926,0.2185797,-0.20212658,0.0057490645,-0.811239,-0.5216649,-0.11528147,-0.40281385,-0.26327032,-0.13585725,0.07401413,-0.14438331,-0.28593937,-0.2868156,-0.2554462,-0.097923264,0.1324412,-0.25232625,-0.96712375,-0.90110755,-0.62671775,0.37807322,0.63135725,-0.3932311,-0.10265153,-0.34923956,-0.2712426,-0.40981302,-0.34695494,-0.14334024,-0.5018805,-0.19868253,-0.46140113,-0.01661268,-0.58605456,0.011581532,-0.78728694,0.34212753,-0.292627,-0.118877895,-0.26492104,-0.10320724,-0.42291993,0.07061151,-0.1802059,-0.13983032,-0.42927384,-0.2352746,-0.23617515,-0.3573846,-1.0290169,-0.1774463,-0.020244591,-0.18380071,-0.418731,-0.13999528,-0.17199163,-0.026704378,-0.20390587,0.24572697,-0.5056454,-0.123951636,0.00070902,-0.1908716,-0.23876153,-0.58831275,-0.5112931,-0.09144242,-0.30290645,-0.7093945,-0.5505822,-0.24690716,-0.08306409
8,-0.5178849,0.18615468,0.24977595,-0.024688879,-0.31953582,0.081605546,0.16505334,-0.32023665,-0.035074137,-0.17659324,-0.073669404,-0.6577856,0.26260206,-0.034750108,-0.2159874,0.27229032,0.75113004,0.51136494,0.39394683,0.36563066,-0.16398421,0.17168099,0.1939518,-0.08159754,0.5476584,0.20560871,0.11410268,0.38066798,-0.2949009,-0.06737199,-0.11008389,-0.5429468,-0.14236806,0.062230572,0.12568809,0.036662612,0.15674576,0.00040408142,0.253485,-0.17047021,-0.27732858,0.27208593,-0.08175249,0.005346979,0.18405254,-0.0024140934,0.4987857,-0.19147913,0.07915975,-0.18809888,0.36137143,-0.27303484,0.5619115,0.15764555,0.16974118,-0.09057324,0.18951277,0.19204588,0.32030135,0.06897525,-0.05304537,0.32114786,0.3513906,0.3115606,0.3503232,-0.0055200467,0.56474835,-0.026547994,0.012488707,0.53668284,0.17122887,-0.059077352,-0.2867437,0.046273798,-0.18582761,0.25587195,0.5345137,0.59230787,0.23245953,0.14534053,-0.10200762,0.31014,0.14880589,0.22684462,0.19915147,-0.042763878,0.22763278,0.06225874,0.08534629,-0.080656394,-0.124394685,0.105578184,0.1846008,0.21440162,-0.63967365,-0.26813704,-0.19561565,0.16699642,0.466331,0.31346074,-0.2213146,0.089735776,0.13235591,0.024556091,-0.30859324,-0.028946025,0.0035024837,0.23490433,0.032257162,0.044935767,-0.10337458,0.18063864,0.29007408,0.2016464,0.027989933,0.10451897,0.08461379,0.030088931,-0.5970222,0.094863094,-0.093041725,-0.2541865,-0.2779878,-0.15782085,0.25366285,-0.015652167,-0.16093811,0.41351563,-0.011794266,0.34385353,-0.040305752,0.393024,0.4552987,0.40328494,0.56136817,0.2130804,0.1332966,0.4687298,0.72859627
9,-0.14509748,-0.047648977,-0.22332424,0.26278073,-0.1750694,0.34006652,0.25109175,-0.2733579,-0.31485006,-0.18012752,-0.42810228,0.039980654,-0.39254612,-0.32097137,0.0061646006,-0.22610502,-0.1138781,-0.066809274,0.043259088,-0.0016470669,-0.3473589,0.24042445,-0.3606165,-0.25214222,0.17262158,0.2665618,-0.4104045,-0.42772242,0.14597625,0.017528774,0.030970396,-0.18268792,0.22243905,-0.04152987,-0.21984158,-0.05937803,0.002544112,-0.25836515,0.19786772,-0.0021153437,-0.14376926,-0.43241334,0.02123692,0.3334677,0.037457276,0.23689702,0.020987777,-0.45285216,0.30633724,-0.11542235,0.23751016,-0.02871727,-0.15151197,-0.32043356,-0.17398392,-0.010172182,0.07478051,-0.091287814,-0.41108164,0.21337551,0.1758561,0.25664207,-0.122052826,0.15855083,-0.2385638,-0.28691667,0.27641383,-0.8098534,-0.38095352,0.17287758,0.80837387,0.45031655,0.1076546,0.19283645,-0.26641443,0.03332261,-0.14319484,-0.30700684,0.11999286,-0.44667342,-0.35411322,-0.49922746,-0.2973441,0.07942147,0.19451316,0.16801068,0.0039796224,-0.33672145,-0.265956,0.08879304,-0.23953547,0.04480047,-0.22738467,-0.113475226,-0.14378558,-0.2938607,-0.49916568,0.2157751,-0.04857774,-0.40067074,-0.5173775,0.063430086,-0.042957354,-0.30605453,0.11521129,0.018308422,-0.05444375,0.07062482,0.3212287,-0.11040125,-0.21568759,-0.071418524,0.33025023,-0.043036178,-0.1994962,-0.3523994,0.099533185,-0.36596543,0.24343109,-0.27744982,0.13562244,-0.07035505,0.020789625,-0.32891217,0.22091916,-0.25561827,0.12637267,0.13956127,0.050700724,0.014752194,0.0020582753,-0.20954591,-0.2679427,-0.2613329,-0.018167282,-0.3369735,-0.6077246,-0.2444332,0.3938447
